,id_sampl,Survey,strata_id,ass_site,district,number_families,number_individuals,geopoint_1,X_geopoint_1_latitude,X_geopoint_1_longitude,X_geopoint_1_altitude,X_geopoint_1_precision,psu_id,pop_numbers,SumDist,proba,survey_buffer
15,id_8,6,all,Buloqodax,bossaso,100,600,11.27653671 49.18046359 -11.0 11.792,11.27653671,49.18046359,-11,11.792,Buloqodax,100,11058,0.009043227,6
16,id_9,6,all,Buulo.mingis A,bossaso,900,5000,11.2800105 49.2006716 -3.1418428324330767 4.662,11.2800105,49.2006716,-3.141842832,4.662,Buulo.mingis A,900,11058,0.08138904,6
1,id_108,6,all,Farey center,mogadishu_kahda,420,2800,2.05320243 45.26842783 40.0 4.0,2.05320243,45.26842783,40,4,Farey center,420,68204,0.006157997,6
2,id_111,6,all,feeynuus canter,mogadishu_kahda,300,1800,2.0681266666666667 45.23733333333333 157.6 4.9,2.068126667,45.23733333,157.6,4.9,feeynuus canter,300,68204,0.004398569,6
3,id_117,6,all,Gargaar,mogadishu_kahda,385,2310,2.0630433333333333 45.25268333333334 106.7 4.9,2.063043333,45.25268333,106.7,4.9,Gargaar,385,68204,0.00564483,6
4,id_126,6,all,hade layaabo yaasinka,mogadishu_kahda,175,1050,2.053348333333333 45.26012666666667 87.5 4.9,2.053348333,45.26012667,87.5,4.9,hade layaabo yaasinka,175,68204,0.002565832,6
5,id_139,6,all,Huriyo,mogadishu_kahda,522,3132,2.0516883333333333 45.257585 102.0 3.2,2.051688333,45.257585,102,3.2,Huriyo,522,68204,0.00765351,6
6,id_14,12,all,allaweyn,mogadishu_kahda,542,3250,2.05518 45.243698333333334 102.4 4.5,2.05518,45.24369833,102.4,4.5,allaweyn,542,68204,0.007946748,12
7,id_146,6,all,Inaafatah,mogadishu_kahda,370,2220,2.05965 45.25613333333334 72.1 3.8,2.05965,45.25613333,72.1,3.8,Inaafatah,370,68204,0.005424902,6
8,id_157,6,all,Kaafi center,mogadishu_kahda,867,4335,2.062499918974936 45.24372948333621 57.0 25.0,2.062499919,45.24372948,57,25,Kaafi center,867,68204,0.012711864,6
